hôm nay trời đẹp không?,hoi_thoi_tiet
hôm nay thời tiết nào ?,hoi_thoi_tiet
hôm nay mưa không ?,hoi_thoi_tiet
hôm nay nắng không ?,hoi_thoi_tiet
thời tiết hôm nay thế nào?,hoi_thoi_tiet
thời tiết như nào?,hoi_thoi_tiet
tôi muốn xem thời tiết?,hoi_thoi_tiet
,
chào em gái,chao_hoi
chào bạn,chao_hoi
hello bạn,chao_hoi
hi bot,chao_hoi
hi em,chao_hoi
xin chào,chao_hoi
chào em,chao_hoi
chào buổi,chao_hoi
,
sáng đèn,bat_den
sáng đèn,bat_den
Bật đèn,bat_den
bật đèn,bat_den
bật đèn,bat_den
Bật đèn,bat_den
Bật đèn nhanh lên,bat_den
Bật bóng đèn,bat_den
Mở bóng đèn,bat_den
Mở đèn,bat_den
On đèn.,bat_den
Turn on the light.,bat_den
Tối quá.,bat_den
Tối rồi,bat_den
tối thế?,bat_den
Tối thế,bat_den
Trời tối rồi,bat_den
,
Nên tắt đèn,tat_den
Tắt đèn,tat_den
Tắt đèn nào,tat_den
Tắt đèn thôi,tat_den
Tắt đèn thôi,tat_den
Tắt đèn,tat_den
tắt đèn,tat_den
Tắt đèn,tat_den
Off đèn.,tat_den
Chói mắt.,tat_den
Chói mắt,tat_den
chói mắt,tat_den
Turn off,tat_den
trời sáng,tat_den
Trời sáng,tat_den
sáng rồi,tat_den
tắt bóng, tat_den
Tắt bóng, tat_den
tắt bóng,tat_den
tắt bóng đèn,tat_den
Tắt Bóng đèn,tat_den
Tắt bóng đèn,tat_den
,
Bật máy bơm,bat_bom
Bật máy bơm,bat_bom
Bật bơm lên,bat_bom
Bật bơm,bat_bom
Khởi động máy bơm,bat_bom
Bơm nước,bat_bom
bơm nước,bat_bom
bơm nước,bat_bom
Bơm nước,bat_bom
bơm nước,bat_bom
bơm nước,bat_bom
Chạy máy bơm,bat_bom
Chạy bơm,bat_bom
Run máy bơm,bat_bom
Mở bơm,bat_bom
Start máy bơm,bat_bom
Start bơm,bat_bom
trong bể hết nước,bat_bom
hết nước rồi,bat_bom
Bắt đầu bơm,bat_bom
bắt đầu bơm,bat_bom
,
Tắt máy bơm,tat_bom
Tắt bơm,tat_bom
tắt bơm,tat_bom
Dừng máy bơm,tat_bom
dừng máy bơm,tat_bom
dừng bơm,tat_bom
Dừng bơm,tat_bom
Dừng thôi,tat_bom
dừng thôi,tat_bom
dừng,tat_bom
dừng bơm nước,tat_bom
Dừng bơm nước,tat_bom
rừng máy bơm,tat_bom
ngưng máy bơm,tat_bom
ngưng,tat_bom
ngưng,tat_bom
ngưng,tat_bom
Ngưng,tat_bom
Ngưng,tat_bom
ngưng,tat_bom
ngưng bơm,tat_bom
Ngưng bơm,tat_bom
Ngưng Bơm,tat_bom
Ngưng,tat_bom
ngưng,tat_bom
Đầy nước rồi,tat_bom
đầy nước rồi,tat_bom
Nước đầy rôi,tat_bom
nước đầy,tat_bom
đầy,tat_bom
,
bạn có thể làm những gì?,hoi_chuc_nang
bạn có biết những gì?,hoi_chuc_nang
bạn có thể làm những gì?,hoi_chuc_nang
em biết làm những gì?,hoi_chuc_nang
em biết gì?,hoi_chuc_nang
,
bây giờ là mấy giờ?,hoi_gio
Bây giờ là mấy giờ,hoi_gio
mấy giờ rồi?,hoi_gio
Mấy giờ rồi,hoi_gio
không biết giờ giấc thế nào?,hoi_gio
giờ giấc thế nào nhỉ?,hoi_gio
thời gian hiện tại?,hoi_gio
,
hôm nay ngày mấy nhỉ?,hoi_ngay
nay ngày mấy?,hoi_ngay
nay ngày bao nhiêu?,hoi_ngay
ngày bao nhiêu?,hoi_ngay
nay ngày nào?,hoi_ngay
hôm nay là ngày nào?,hoi_ngay
Ngày bao nhiêu rồi,hoi_ngay
nay ngày nhiêu,hoi_ngay
ngày nhiêu rồi,hoi_ngay
,
Định nghĩa,hoi_dinh_nghia
Nghe định nghĩa.,hoi_dinh_nghia
Kể tôi biết về thế giới,hoi_dinh_nghia
Hỏi về định nghĩa,hoi_dinh_nghia
Hỏi định nghĩa,hoi_dinh_nghia
Định nghĩa,hoi_dinh_nghia
